Date,Open,High,Low,Close,AdjClose,Volume
"Sent: b'[11/6/1997, 0.245833, 0.245833, 0.231771, 0.233073, 0.233073,58272000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/7/1997, 0.220833, 0.232031, 0.219271, 0.223958, 0.223958,52536000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/10/1997, 0.225, 0.228125, 0.210417, 0.210417, 0.210417,55296000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/11/1997, 0.21224, 0.215625, 0.195833, 0.197396, 0.197396,86256000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/12/1997, 0.188802, 0.209375, 0.183333, 0.188542, 0.188542,173664000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/13/1997, 0.197396, 0.198438, 0.188542, 0.192969, 0.192969,85800000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/14/1997, 0.196875, 0.210417, 0.189063, 0.208333, 0.208333,117384000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/17/1997, 0.211458, 0.227083, 0.210938, 0.21875, 0.21875,147888000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/18/1997, 0.21875, 0.223958, 0.217188, 0.220833, 0.220833,37320000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/19/1997, 0.220313, 0.226042, 0.215625, 0.225521, 0.225521,50688000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/20/1997, 0.228646, 0.230208, 0.225521, 0.229167, 0.229167,118464000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/21/1997, 0.227604, 0.229167, 0.224479, 0.224479, 0.224479,52056000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/24/1997, 0.21875, 0.220833, 0.211458, 0.211458, 0.211458,40392000]' on port 9999. Hit CTRL-c to stop."
"Sent: b'[11/25/1997, 0.211979, 0.216667, 0.202083, 0.210156, 0.210156,66096000]' on port 9999. Hit CTRL-c to stop."
